TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2024,1,14,15,30,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,1,27,21,20,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,2,4,13,30,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,2,6,15,20,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,2,23,21,20,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,2,24,14,16,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,3,3,18,40,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,3,6,17,30,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,3,7,20,47,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,3,14,0,49,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,4,5,20,30,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,4,10,13,12,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,4,21,17,42,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,5,20,13,0,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,7,21,14,36,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,7,26,18,13,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,7,26,20,0,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,7,27,14,50,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,8,4,15,30,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,8,10,17,22,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,8,17,18,41,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,8,29,17,11,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,4,19,38,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,5,17,29,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,10,14,27,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,11,18,18,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,15,10,17,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,15,12,29,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,19,20,12,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,20,14,40,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,25,17,15,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,9,29,20,45,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,10,11,14,22,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,10,11,22,32,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,10,13,12,34,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,10,15,21,57,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,10,15,22,48,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,10,16,21,42,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,10,29,21,58,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,11,2,20,59,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,11,15,22,39,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,11,16,16,27,55XX CAMBIE ST,South Cambie,491528.032,5453574.171
Other Theft,2024,4,6,15,40,55XX CAMBIE ST,Riley Park,491559.6749,5453622.345
Other Theft,2024,6,3,17,0,55XX CULLODEN ST,Kensington-Cedar Cottage,494290.2662,5453481.941
Other Theft,2024,6,3,17,30,55XX CULLODEN ST,Kensington-Cedar Cottage,494290.2662,5453481.941
Other Theft,2024,5,25,16,1,55XX LINCOLN ST,Renfrew-Collingwood,498117.5422,5453478.72
Other Theft,2024,5,30,17,0,55XX LINCOLN ST,Renfrew-Collingwood,498117.5422,5453478.72
Other Theft,2024,10,15,2,40,55XX OAK ST,Shaughnessy,490674.653,5453597.964
Other Theft,2024,3,20,13,29,55XX WEST BLVD,Arbutus Ridge,488674.1701,5453726.23
Other Theft,2024,4,17,12,50,55XX WEST BLVD,Arbutus Ridge,488674.1701,5453726.23
Other Theft,2024,10,18,9,26,56XX ALMA ST,Dunbar-Southlands,486405.5995,5453614.968
Other Theft,2024,8,19,12,0,56XX ANGUS DR,Shaughnessy,489246.7967,5453603.588
Other Theft,2024,3,12,12,30,56XX ASH ST,South Cambie,491417.0606,5453530.428
Other Theft,2024,4,6,22,30,56XX BOUNDARY RD,Renfrew-Collingwood,498277.1506,5453318.596
Other Theft,2024,7,22,15,21,56XX COMMERCIAL ST,Kensington-Cedar Cottage,495004.8581,5453368.947
Other Theft,2024,12,26,12,0,56XX CYPRESS ST,Shaughnessy,489142.6047,5453598.356
Other Theft,2024,4,14,22,50,56XX DUNBAR ST,Dunbar-Southlands,486514.2031,5453621.704
Other Theft,2024,4,23,22,4,56XX DUNBAR ST,Dunbar-Southlands,486514.2031,5453621.704
Other Theft,2024,9,25,21,0,56XX DUNBAR ST,Dunbar-Southlands,486514.598,5453643.522
Other Theft,2024,8,1,6,45,56XX EARLES ST,Renfrew-Collingwood,496443.9887,5453388.873
Other Theft,2024,6,6,14,43,56XX ELIZABETH ST,Riley Park,491848.1915,5453485.673
Other Theft,2024,6,6,16,44,56XX ELIZABETH ST,Riley Park,491848.7108,5453501.229
Other Theft,2024,11,20,3,0,56XX LABURNUM ST,Shaughnessy,489033.9135,5453604.631
Other Theft,2024,2,1,12,20,56XX MELBOURNE ST,Renfrew-Collingwood,497864.7841,5453268.441
Other Theft,2024,7,10,10,50,56XX OAK ST,South Cambie,490681.3529,5453496.777
Other Theft,2024,8,28,17,4,56XX OAK ST,South Cambie,490681.3529,5453496.777
Other Theft,2024,9,8,18,57,56XX OAK ST,South Cambie,490681.3529,5453496.777
Other Theft,2024,6,27,21,16,56XX OAK ST,South Cambie,490681.6565,5453509.331
Other Theft,2024,11,22,12,0,56XX OSLER ST,Shaughnessy,490514.2654,5453533.925
Other Theft,2024,5,23,16,56,56XX RUPERT ST,Renfrew-Collingwood,496867.4559,5453392.627
Other Theft,2024,5,30,18,0,56XX STANLEY PARK DR,Stanley Park,489604.012,5462178.685
Other Theft,2024,5,25,14,45,56XX VICTORIA DR,Kensington-Cedar Cottage,495227.0115,5453372.783
Other Theft,2024,9,14,21,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495227.3852,5453387.092
Other Theft,2024,2,23,15,29,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,4,2,9,5,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,4,9,20,40,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,5,19,10,48,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,5,20,12,41,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,5,24,14,51,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,5,31,20,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,6,7,21,21,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,6,29,10,52,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,7,8,13,17,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,7,24,15,14,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,8,16,17,20,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,8,16,20,25,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,8,16,21,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,8,17,15,30,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,8,17,16,20,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,9,10,9,34,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,9,18,15,40,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,10,9,15,20,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,11,13,16,15,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,12,12,18,20,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.771
Other Theft,2024,1,8,15,13,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,1,12,15,11,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,1,19,19,40,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,1,25,18,14,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,1,29,10,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,1,31,15,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,2,1,19,13,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,2,10,21,16,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,2,17,14,9,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,2,17,14,40,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,3,1,14,35,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,3,12,15,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,3,13,12,58,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,3,20,20,47,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,3,27,16,48,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,3,27,20,17,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,4,3,13,35,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,4,11,17,55,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,6,14,18,35,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,6,18,10,32,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,6,22,12,30,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,6,22,16,26,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,7,17,19,55,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,8,17,15,25,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,8,28,14,49,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,9,20,14,47,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.33
Other Theft,2024,10,14,7,43,56XX WESSEX ST,Renfrew-Collingwood,497457.4982,5453272.122
Other Theft,2024,5,18,5,10,56XX WILLOW ST,South Cambie,490986.8923,5453471.937
Other Theft,2024,12,30,17,0,57XX ADERA ST,Kerrisdale,489569.5079,5453498.378
Other Theft,2024,8,26,22,0,57XX CHESTER ST,Sunset,493510.1311,5453243.069
Other Theft,2024,4,20,0,23,57XX CREE ST,Sunset,492713.6535,5453302.826
Other Theft,2024,5,16,8,30,57XX CREE ST,Sunset,492713.8159,5453308.654
Other Theft,2024,8,22,0,0,57XX EARLES ST,Victoria-Fraserview,496443.4949,5453301.412
Other Theft,2024,10,26,20,0,57XX EAST BLVD,Kerrisdale,488721.4569,5453541.503
Other Theft,2024,7,23,2,15,57XX FRASER ST,Sunset,493412.0085,5453327.906
Other Theft,2024,2,8,19,0,57XX GRANVILLE ST,Oakridge,489840.2003,5453508.347
Other Theft,2024,4,15,2,7,57XX GRANVILLE ST,Oakridge,489840.2003,5453508.347
Other Theft,2024,12,30,3,6,57XX GRANVILLE ST,Oakridge,489840.2003,5453508.347
Other Theft,2024,4,1,9,30,57XX HAROLD ST,Killarney,497375.1594,5453241.825
Other Theft,2024,10,4,5,30,57XX HAROLD ST,Killarney,497384.7268,5453285.14
Other Theft,2024,3,6,18,57,57XX LANCASTER ST,Killarney,496958.0486,5453281.498
Other Theft,2024,7,10,10,30,57XX MAIN ST,Sunset,492617.2741,5453272.418
Other Theft,2024,7,2,18,0,57XX MARGUERITE ST,Kerrisdale,489459.4263,5453509.047
Other Theft,2024,12,30,18,10,57XX MARGUERITE ST,Kerrisdale,489459.4263,5453509.047
Other Theft,2024,11,26,20,0,57XX MCKINNON ST,Killarney,497181.2763,5453299.493
Other Theft,2024,7,5,17,40,57XX RHODES ST,Victoria-Fraserview,496342.7321,5453306.706
Other Theft,2024,3,27,2,55,57XX RHODES ST,Victoria-Fraserview,496342.908,5453257.315
Other Theft,2024,4,13,3,0,57XX SOPHIA ST,Sunset,492815.079,5453272.718
Other Theft,2024,3,14,0,0,57XX SOPHIA ST,Sunset,492825.1713,5453317.19
Other Theft,2024,5,1,5,17,57XX ST GEORGE ST,Sunset,493109.9668,5453293.136
Other Theft,2024,6,28,16,0,58XX ADERA ST,Kerrisdale,489557.4871,5453358.396
Other Theft,2024,3,8,11,10,58XX ARGYLE ST,Victoria-Fraserview,494795.1221,5453158.951
Other Theft,2024,2,18,1,28,58XX BEATRICE ST,Victoria-Fraserview,495129.3288,5453100.434
Other Theft,2024,3,3,3,50,58XX BEATRICE ST,Victoria-Fraserview,495129.3288,5453100.434
Other Theft,2024,1,23,10,0,58XX BEATRICE ST,Victoria-Fraserview,495129.8626,5453130.401
Other Theft,2024,8,16,12,5,58XX BEATRICE ST,Victoria-Fraserview,495130.7449,5453179.641
Other Theft,2024,3,29,17,55,58XX BERKELEY ST,Victoria-Fraserview,495780.0996,5453150.947
Other Theft,2024,8,20,7,0,58XX FRASER ST,Sunset,493408.7425,5453152.517
Other Theft,2024,10,9,17,20,58XX FRASER ST,Sunset,493410.1523,5453228.234
Other Theft,2024,4,14,12,0,58XX KNIGHT ST,Victoria-Fraserview,494389.785,5453145.44
Other Theft,2024,5,26,3,40,58XX LINCOLN ST,Killarney,498069.4602,5453101.012
Other Theft,2024,5,10,4,35,58XX MARGUERITE ST,Kerrisdale,489464.2759,5453333.062
Other Theft,2024,9,17,19,0,58XX MARGUERITE ST,Kerrisdale,489464.7595,5453352.814
Other Theft,2024,5,26,3,50,58XX ORMIDALE ST,Killarney,498170.6661,5453166.107
Other Theft,2024,12,1,3,30,58XX PRINCE ALBERT ST,Sunset,493599.5769,5453143.88
Other Theft,2024,8,1,11,7,58XX SOPHIA ST,Sunset,492812.7724,5453163.976
Other Theft,2024,11,30,15,51,58XX ST GEORGE ST,Sunset,493107.953,5453212.655
Other Theft,2024,9,25,18,15,58XX ST MARGARETS ST,Victoria-Fraserview,495886.1487,5453197.859
Other Theft,2024,1,29,19,47,58XX ST MARGARETS ST,Victoria-Fraserview,495886.9868,5453125.551
Other Theft,2024,2,17,18,15,58XX VICTORIA DR,Victoria-Fraserview,495222.7698,5453118.363
Other Theft,2024,4,26,12,43,58XX VINE ST,Kerrisdale,488357.2982,5453374.898
Other Theft,2024,8,2,9,53,58XX VINE ST,Kerrisdale,488357.2982,5453374.898
Other Theft,2024,11,27,18,0,58XX WEST BLVD,Kerrisdale,488667.251,5453384.916
Other Theft,2024,9,9,0,54,59XX ADERA ST,Kerrisdale,489565.2163,5453290.797
Other Theft,2024,6,6,18,12,59XX ARGYLE ST,Victoria-Fraserview,494781.8364,5453003.751
Other Theft,2024,12,30,16,25,59XX BALSAM ST,Kerrisdale,488252.4934,5453301.575
Other Theft,2024,5,16,13,45,59XX BEATRICE ST,Victoria-Fraserview,495128.8662,5453073.361
Other Theft,2024,3,22,17,0,59XX CAMBIE ST,Oakridge,491548.3847,5453136.584
Other Theft,2024,4,29,15,58,59XX CHESTER ST,Sunset,493508.0211,5453102.828
Other Theft,2024,7,5,0,0,59XX CHURCHILL ST,Kerrisdale,489693.8721,5453246.704
Other Theft,2024,5,10,8,36,59XX CLARENDON ST,Victoria-Fraserview,495979.554,5453033.955
Other Theft,2024,2,29,12,0,59XX DUMFRIES ST,Victoria-Fraserview,494590.269,5453032.497
Other Theft,2024,7,15,18,30,59XX DUMFRIES ST,Victoria-Fraserview,494590.8539,5453055.618
Other Theft,2024,8,22,10,15,59XX FRASER ST,Sunset,493408.5342,5453133.839
Other Theft,2024,3,6,4,43,59XX FREMLIN ST,Oakridge,490778.3468,5453194.392
Other Theft,2024,2,10,19,35,59XX KERR ST,Killarney,497063.6698,5453016.291
Other Theft,2024,7,1,12,0,59XX MCKINNON ST,Killarney,497169.4524,5452968.633
Other Theft,2024,11,6,23,41,59XX OAK ST,Oakridge,490663.5213,5453173.363
Other Theft,2024,10,3,13,45,59XX PRINCE ALBERT ST,Sunset,493597.9799,5453066.97
Other Theft,2024,8,23,1,0,59XX RUPERT ST,Killarney,496862.9529,5453053.663
Other Theft,2024,12,16,11,50,59XX VICTORIA DR,Victoria-Fraserview,495230.8655,5453062.987
Other Theft,2024,9,5,6,0,59XX WEST BLVD,Kerrisdale,488662.8445,5453279.985
Other Theft,2024,12,4,15,17,5X ALEXANDER ST,Central Business District,492501.7932,5458993.928
Other Theft,2024,1,3,18,41,5X ALEXANDER ST,Central Business District,492514.2179,5458988.066
Other Theft,2024,12,9,8,0,5X ALEXANDER ST,Central Business District,492514.9723,5458988.289
Other Theft,2024,5,20,16,15,5X BLOOD ALLEY SQ,Central Business District,492351.9578,5458925.212
Other Theft,2024,6,23,0,0,5X COMMERCIAL DR,Grandview-Woodland,494880.3149,5459039.173
Other Theft,2024,2,8,15,0,5X DUNLEVY AVE,Strathcona,493068.1766,5459121.686
Other Theft,2024,7,1,15,0,5X E 2ND AVE,Mount Pleasant,492458.8502,5457400.372
Other Theft,2024,8,17,15,45,5X E 38TH AVE,Riley Park,492400.9392,5453735.927
Other Theft,2024,3,2,4,30,5X E 56TH AVE,Sunset,492350.8907,5451840.733
Other Theft,2024,1,3,17,0,5X E CORDOVA ST,Central Business District,492492.1127,5458844.495
Other Theft,2024,4,2,0,0,5X E CORDOVA ST,Central Business District,492497.5896,5458853.607
Other Theft,2024,10,1,9,0,5X E CORDOVA ST,Central Business District,492497.5896,5458853.607
Other Theft,2024,8,24,20,47,5X E HASTINGS ST,Central Business District,492488.7677,5458750.553
Other Theft,2024,9,19,7,4,5X E HASTINGS ST,Central Business District,492488.7677,5458750.553
Other Theft,2024,4,26,15,28,5X E HASTINGS ST,Central Business District,492488.8309,5458750.548
Other Theft,2024,2,19,13,0,5X E PENDER ST,Central Business District,492486.7751,5458644.515
Other Theft,2024,2,4,14,42,5X KEEFER PL,Central Business District,492234.6253,5458535.36
Other Theft,2024,2,18,17,0,5X KEEFER PL,Central Business District,492234.6253,5458535.36
Other Theft,2024,2,18,17,6,5X KEEFER PL,Central Business District,492234.6253,5458535.36
Other Theft,2024,10,25,14,28,5X KEEFER PL,Central Business District,492234.6253,5458535.36
Other Theft,2024,11,2,13,1,5X KEEFER PL,Central Business District,492234.6253,5458535.36
Other Theft,2024,7,18,17,0,5X POWELL ST,Central Business District,492504.213,5458945.591
Other Theft,2024,6,7,16,0,5X POWELL ST,Central Business District,492506.9925,5458954.653
Other Theft,2024,2,2,15,21,5X POWELL ST,Central Business District,492507.509,5458954.636
Other Theft,2024,9,23,10,38,5X POWELL ST,Central Business District,492512.7242,5458954.473
Other Theft,2024,1,7,2,30,5X STANLEY PARK CSWY,Stanley Park,490068.6462,5460232.415
Other Theft,2024,6,16,20,59,5X STANLEY PARK CSWY,Stanley Park,490068.6462,5460232.415
Other Theft,2024,9,16,11,0,5X STANLEY PARK CSWY,Stanley Park,490068.6462,5460232.415
Other Theft,2024,8,20,17,30,"5X STANLEY PARK CSWY ""STANLEY PARK""",Stanley Park,490067.4989,5460237.653
Other Theft,2024,8,11,16,20,"5X STANLEY PARK CSWY ""STANLEY PARK""",Stanley Park,490068.6462,5460232.415
Other Theft,2024,3,26,10,0,5X W 21ST AVE,Riley Park,492271.0905,5455459.542
Other Theft,2024,9,4,0,0,5X W 7TH AVE,Mount Pleasant,492295.5936,5456890.635
Other Theft,2024,2,2,0,0,5X W 8TH AVE,Mount Pleasant,492293.7468,5456790.22
Other Theft,2024,2,3,14,1,5X W CORDOVA ST,Central Business District,492310.4653,5458895.148
Other Theft,2024,11,21,23,30,5X W CORDOVA ST,Central Business District,492314.5134,5458893.921
Other Theft,2024,2,4,12,50,5X W CORDOVA ST,Central Business District,492321.0375,5458891.949
Other Theft,2024,3,12,15,5,5X W CORDOVA ST,Central Business District,492321.0375,5458891.949
Other Theft,2024,9,20,8,32,5X W CORDOVA ST,Central Business District,492321.0375,5458891.949
Other Theft,2024,12,18,23,0,5X W CORDOVA ST,Central Business District,492321.0375,5458891.949
Other Theft,2024,2,1,23,53,5X W CORDOVA ST,Central Business District,492321.9081,5458882.126
Other Theft,2024,3,24,0,0,5X W CORDOVA ST,Central Business District,492321.9081,5458882.126
Other Theft,2024,4,14,2,45,5X W CORDOVA ST,Central Business District,492321.9081,5458882.126
Other Theft,2024,4,29,17,19,5X W CORDOVA ST,Central Business District,492321.9828,5458882.103
Other Theft,2024,8,10,3,0,5X W CORDOVA ST,Central Business District,492321.9828,5458882.103
Other Theft,2024,6,20,22,44,5X W CORDOVA ST,Central Business District,492324.6344,5458890.854
Other Theft,2024,12,23,16,8,5X W CORDOVA ST,Central Business District,492324.6344,5458890.854
Other Theft,2024,5,31,7,30,5X W HASTINGS ST,Central Business District,492308.4276,5458786.109
Other Theft,2024,6,19,19,42,5X W HASTINGS ST,Central Business District,492308.4276,5458786.109
Other Theft,2024,5,13,18,45,5X W HASTINGS ST,Central Business District,492308.4304,5458786.11
Other Theft,2024,1,15,16,30,5X W KING EDWARD AVE,Riley Park,492268.0498,5455135.867
Other Theft,2024,7,30,18,4,5X W PENDER ST,Central Business District,492260.4106,5458688.212
Other Theft,2024,7,16,12,0,5X W PENDER ST,Central Business District,492275.7171,5458684
Other Theft,2024,10,28,21,8,5X WATER ST,Central Business District,492337.9784,5459004.909
Other Theft,2024,9,30,18,3,5X WATER ST,Central Business District,492340.8601,5459004.131
Other Theft,2024,5,14,10,14,5XX ABBOTT ST,Central Business District,492168.9228,5458624.711
Other Theft,2024,5,3,23,0,5XX ABBOTT ST,Central Business District,492169.9037,5458666.22
Other Theft,2024,10,1,16,30,5XX ABBOTT ST,Central Business District,492169.9037,5458666.22
Other Theft,2024,11,13,13,10,5XX ABBOTT ST,Central Business District,492169.9395,5458667.758
Other Theft,2024,9,13,15,40,5XX ABBOTT ST,Central Business District,492170.4859,5458690.881
Other Theft,2024,2,2,20,45,5XX ABBOTT ST,Central Business District,492177.5785,5458603.955
Other Theft,2024,6,3,14,13,5XX ABBOTT ST,Central Business District,492177.5785,5458603.955
Other Theft,2024,5,31,11,0,5XX ABBOTT ST,Central Business District,492179.8298,5458699.212
Other Theft,2024,9,1,18,28,5XX BEACH CRES,Central Business District,490575.6285,5457849.568
Other Theft,2024,3,2,21,42,5XX BEATTY ST,Central Business District,491979.7938,5458584.012
Other Theft,2024,3,3,9,28,5XX BEATTY ST,Central Business District,492023.364,5458628.126
Other Theft,2024,12,13,19,44,5XX BEATTY ST,Central Business District,492023.364,5458628.126
Other Theft,2024,1,21,1,41,5XX BEATTY ST,Central Business District,492051.8541,5458656.969
Other Theft,2024,9,19,20,0,5XX BEATTY ST,Central Business District,492110.5044,5458716.353
Other Theft,2024,3,22,12,0,5XX BROUGHTON ST,Central Business District,490780.8227,5459695.571
Other Theft,2024,3,22,23,0,5XX BROUGHTON ST,Central Business District,490780.8227,5459695.571
Other Theft,2024,6,24,9,35,5XX BURRARD ST,Central Business District,491323.748,5459224.837
Other Theft,2024,5,9,14,16,5XX BURRARD ST,Central Business District,491333.5689,5459221.619
Other Theft,2024,12,19,16,30,5XX BURRARD ST,Central Business District,491333.5689,5459221.619
Other Theft,2024,7,7,18,0,5XX BURRARD ST,Central Business District,491363.9504,5459263.782
Other Theft,2024,9,13,19,12,5XX BURRARD ST,Central Business District,491374.3329,5459261.109
Other Theft,2024,9,1,9,8,5XX BURRARD ST,Central Business District,491414.2033,5459312.465
Other Theft,2024,6,5,23,50,5XX BURRARD ST,Central Business District,491416.1372,5459314.338
Other Theft,2024,12,17,0,39,5XX BURRARD ST,Central Business District,491416.1372,5459314.338
Other Theft,2024,3,8,12,46,5XX BUTE ST,Central Business District,490983.3626,5459471.31
Other Theft,2024,8,12,17,26,5XX CAMBIE ST,Central Business District,491996.5212,5458752.995
Other Theft,2024,8,13,19,20,5XX CARDERO ST,Central Business District,490580.7738,5459849.385
Other Theft,2024,4,1,0,0,5XX CARDERO ST,Central Business District,490607.6438,5459863.404
Other Theft,2024,7,16,17,59,5XX CARDERO ST,Central Business District,490644.5961,5459898.098
Other Theft,2024,3,29,17,0,5XX CARRALL ST,Central Business District,492403.2743,5458630.633
Other Theft,2024,5,17,18,51,5XX CARRALL ST,Central Business District,492408.0336,5458534.619
Other Theft,2024,10,27,16,0,5XX CARRALL ST,Central Business District,492408.0336,5458534.619
Other Theft,2024,3,24,11,0,5XX CARRALL ST,Central Business District,492408.0734,5458535.499
Other Theft,2024,11,16,14,41,5XX COLUMBIA ST,Central Business District,492552.9247,5458566.342
Other Theft,2024,7,26,3,5,5XX COMMODORE RD,Fairview,491554.0998,5457207.941
Other Theft,2024,5,6,11,45,5XX DAVIE ST,Central Business District,490945.7935,5458143.026
Other Theft,2024,4,28,13,0,5XX DAVIE ST,Central Business District,490952.357,5458136.428
Other Theft,2024,5,1,11,35,5XX DUNSMUIR ST,Central Business District,491623.6399,5458898.302
Other Theft,2024,4,13,23,0,5XX DUNSMUIR ST,Central Business District,491671.5574,5458850.164
Other Theft,2024,12,23,10,0,5XX E 10TH AVE,Mount Pleasant,493276.5234,5456530.715
Other Theft,2024,11,3,22,0,5XX E 10TH AVE,Mount Pleasant,493327.2912,5456539.977
Other Theft,2024,10,7,12,0,5XX E 11TH AVE,Mount Pleasant,493273.1099,5456440.191
Other Theft,2024,9,30,10,11,5XX E 16TH AVE,Mount Pleasant,493261.1519,5455973.536
Other Theft,2024,5,28,0,20,5XX E 18TH AVE,Riley Park,493199.8493,5455767.532
Other Theft,2024,5,24,20,23,5XX E 19TH AVE,Riley Park,493290.875,5455664.051
Other Theft,2024,3,9,8,26,5XX E 1ST AVE,Strathcona,493151.0652,5457304.271
